"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","p_crd_ghlth","TimeFrame","GeoVintage","Source","Location"
"Census Tract","06067005201","CA","06067005201","=""06067005201""","15.8","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067005202","CA","06067005202","=""06067005202""","13.4","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067005204","CA","06067005204","=""06067005204""","13.2","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067005205","CA","06067005205","=""06067005205""","17.3","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067005301","CA","06067005301","=""06067005301""","31.2","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067005402","CA","06067005402","=""06067005402""","15.2","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067005403","CA","06067005403","=""06067005403""","17.1","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067005404","CA","06067005404","=""06067005404""","12.1","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067005502","CA","06067005502","=""06067005502""","24.3","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067005505","CA","06067005505","=""06067005505""","23.4","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067005506","CA","06067005506","=""06067005506""","22.2","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067005508","CA","06067005508","=""06067005508""","18.2","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067005509","CA","06067005509","=""06067005509""","17.3","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067005510","CA","06067005510","=""06067005510""","18.4","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067005601","CA","06067005601","=""06067005601""","21.2","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067005605","CA","06067005605","=""06067005605""","19.9","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067005606","CA","06067005606","=""06067005606""","14.1","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067005701","CA","06067005701","=""06067005701""","11.6","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067005702","CA","06067005702","=""06067005702""","10.1","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067005801","CA","06067005801","=""06067005801""","13.0","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067005803","CA","06067005803","=""06067005803""","10.4","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067005804","CA","06067005804","=""06067005804""","10.8","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067005901","CA","06067005901","=""06067005901""","15.1","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067005903","CA","06067005903","=""06067005903""","18.2","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067005904","CA","06067005904","=""06067005904""","16.0","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067006002","CA","06067006002","=""06067006002""","16.6","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067006003","CA","06067006003","=""06067006003""","22.4","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067006004","CA","06067006004","=""06067006004""","13.1","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067006101","CA","06067006101","=""06067006101""","23.3","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067006102","CA","06067006102","=""06067006102""","22.5","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067006201","CA","06067006201","=""06067006201""","26.6","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067006202","CA","06067006202","=""06067006202""","25.6","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067006300","CA","06067006300","=""06067006300""","25.7","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067006400","CA","06067006400","=""06067006400""","23.8","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067006500","CA","06067006500","=""06067006500""","26.1","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067006600","CA","06067006600","=""06067006600""","24.1","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067006701","CA","06067006701","=""06067006701""","22.6","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
