"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","p_crd_mhlth","TimeFrame","GeoVintage","Source","Location"
"Census Tract","06067005101","CA","06067005101","=""06067005101""","20.3","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067005102","CA","06067005102","=""06067005102""","16.8","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067005201","CA","06067005201","=""06067005201""","28.2","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067005202","CA","06067005202","=""06067005202""","16.8","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067005204","CA","06067005204","=""06067005204""","14.0","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067005205","CA","06067005205","=""06067005205""","20.7","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067005301","CA","06067005301","=""06067005301""","21.8","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067005402","CA","06067005402","=""06067005402""","19.3","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067005403","CA","06067005403","=""06067005403""","14.1","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067005404","CA","06067005404","=""06067005404""","12.8","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067005502","CA","06067005502","=""06067005502""","21.1","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067005505","CA","06067005505","=""06067005505""","20.7","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067005506","CA","06067005506","=""06067005506""","23.4","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067005508","CA","06067005508","=""06067005508""","19.1","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067005509","CA","06067005509","=""06067005509""","22.8","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067005510","CA","06067005510","=""06067005510""","21.4","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067005601","CA","06067005601","=""06067005601""","17.1","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067005605","CA","06067005605","=""06067005605""","19.9","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067005606","CA","06067005606","=""06067005606""","15.4","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067005701","CA","06067005701","=""06067005701""","13.3","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067005702","CA","06067005702","=""06067005702""","11.9","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067005801","CA","06067005801","=""06067005801""","14.2","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067005803","CA","06067005803","=""06067005803""","10.4","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067005804","CA","06067005804","=""06067005804""","10.8","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067005901","CA","06067005901","=""06067005901""","13.2","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067005903","CA","06067005903","=""06067005903""","20.2","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067005904","CA","06067005904","=""06067005904""","15.8","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067006002","CA","06067006002","=""06067006002""","17.7","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067006003","CA","06067006003","=""06067006003""","20.5","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067006004","CA","06067006004","=""06067006004""","13.5","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067006101","CA","06067006101","=""06067006101""","19.4","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067006102","CA","06067006102","=""06067006102""","19.0","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067006201","CA","06067006201","=""06067006201""","22.1","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067006202","CA","06067006202","=""06067006202""","20.9","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067006300","CA","06067006300","=""06067006300""","21.1","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067006400","CA","06067006400","=""06067006400""","20.6","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067006500","CA","06067006500","=""06067006500""","21.2","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067006600","CA","06067006600","=""06067006600""","20.8","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067006701","CA","06067006701","=""06067006701""","19.7","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067006702","CA","06067006702","=""06067006702""","21.1","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067006800","CA","06067006800","=""06067006800""","22.1","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067006900","CA","06067006900","=""06067006900""","19.3","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007001","CA","06067007001","=""06067007001""","19.7","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007004","CA","06067007004","=""06067007004""","20.7","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007007","CA","06067007007","=""06067007007""","18.1","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007010","CA","06067007010","=""06067007010""","16.9","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007011","CA","06067007011","=""06067007011""","17.9","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007012","CA","06067007012","=""06067007012""","17.4","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007013","CA","06067007013","=""06067007013""","17.4","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007014","CA","06067007014","=""06067007014""","18.9","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007015","CA","06067007015","=""06067007015""","15.8","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007016","CA","06067007016","=""06067007016""","17.1","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007017","CA","06067007017","=""06067007017""","16.2","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007018","CA","06067007018","=""06067007018""","16.1","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007019","CA","06067007019","=""06067007019""","25.0","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007020","CA","06067007020","=""06067007020""","15.2","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007101","CA","06067007101","=""06067007101""","13.3","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007102","CA","06067007102","=""06067007102""","12.8","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007103","CA","06067007103","=""06067007103""","15.1","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007104","CA","06067007104","=""06067007104""","14.2","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
