"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","psmcolass","TimeFrame","GeoVintage","Source","Location"
"Census Tract","06067005101","CA","06067005101","=""06067005101""","36.04","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005102","CA","06067005102","=""06067005102""","36.82","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005201","CA","06067005201","=""06067005201""","33.57","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005202","CA","06067005202","=""06067005202""","33.18","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005204","CA","06067005204","=""06067005204""","27.89","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005205","CA","06067005205","=""06067005205""","33.39","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005301","CA","06067005301","=""06067005301""","35.25","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005402","CA","06067005402","=""06067005402""","33.30","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005403","CA","06067005403","=""06067005403""","25.50","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005404","CA","06067005404","=""06067005404""","22.91","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005502","CA","06067005502","=""06067005502""","32.70","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005505","CA","06067005505","=""06067005505""","37.21","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005506","CA","06067005506","=""06067005506""","22.03","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005508","CA","06067005508","=""06067005508""","32.19","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005509","CA","06067005509","=""06067005509""","35.32","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005510","CA","06067005510","=""06067005510""","36.87","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005601","CA","06067005601","=""06067005601""","34.23","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005605","CA","06067005605","=""06067005605""","31.84","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005606","CA","06067005606","=""06067005606""","36.12","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005701","CA","06067005701","=""06067005701""","29.75","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005702","CA","06067005702","=""06067005702""","22.58","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005801","CA","06067005801","=""06067005801""","31.99","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005803","CA","06067005803","=""06067005803""","18.97","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005804","CA","06067005804","=""06067005804""","17.72","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005901","CA","06067005901","=""06067005901""","35.36","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005903","CA","06067005903","=""06067005903""","35.47","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005904","CA","06067005904","=""06067005904""","34.23","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067006002","CA","06067006002","=""06067006002""","35.56","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067006003","CA","06067006003","=""06067006003""","38.01","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067006004","CA","06067006004","=""06067006004""","26.44","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067006101","CA","06067006101","=""06067006101""","42.91","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067006102","CA","06067006102","=""06067006102""","33.48","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067006202","CA","06067006202","=""06067006202""","23.91","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067006203","CA","06067006203","=""06067006203""","29.69","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067006204","CA","06067006204","=""06067006204""","31.17","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067006300","CA","06067006300","=""06067006300""","32.76","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067006400","CA","06067006400","=""06067006400""","36.37","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067006501","CA","06067006501","=""06067006501""","36.74","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067006502","CA","06067006502","=""06067006502""","31.03","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067006600","CA","06067006600","=""06067006600""","33.40","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067006703","CA","06067006703","=""06067006703""","32.90","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067006704","CA","06067006704","=""06067006704""","26.15","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067006705","CA","06067006705","=""06067006705""","38.30","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067006706","CA","06067006706","=""06067006706""","27.01","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067006801","CA","06067006801","=""06067006801""","33.93","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067006802","CA","06067006802","=""06067006802""","27.92","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067006803","CA","06067006803","=""06067006803""","28.62","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067006901","CA","06067006901","=""06067006901""","36.84","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067006902","CA","06067006902","=""06067006902""","37.00","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007001","CA","06067007001","=""06067007001""","21.04","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007007","CA","06067007007","=""06067007007""","33.37","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007010","CA","06067007010","=""06067007010""","33.54","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007011","CA","06067007011","=""06067007011""","30.57","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007012","CA","06067007012","=""06067007012""","41.86","2018-2022","2022","Census","Sacramento (County, 2022)"
